1636458300000,4769.85,4777.0,4756.2,4774.61,4427.7864
1636459200000,4774.61,4786.99,4764.44,4766.61,3118.4213
1636460100000,4766.62,4776.87,4756.84,4775.35,3241.2749
1636461000000,4775.35,4789.07,4770.75,4788.27,2524.9236
1636461900000,4788.28,4788.78,4776.2,4783.45,3314.9896
1636462800000,4783.44,4804.7,4780.73,4802.01,3119.1463
1636463700000,4802.01,4805.77,4793.93,4802.22,2269.0655
1636464600000,4802.21,4806.94,4791.6,4805.85,2371.9102
1636465500000,4805.85,4813.99,4798.11,4812.98,2772.3101
1636466400000,4812.97,4812.97,4802.0,4803.4,2213.1634
1636467300000,4803.4,4810.0,4800.01,4809.15,2978.9205
1636468200000,4809.15,4833.29,4804.54,4827.38,4888.3813
1636469100000,4827.38,4828.51,4780.0,4794.77,7896.6989
1636470000000,4794.77,4798.89,4760.0,4793.9,7944.7061
1636470900000,4793.89,4827.88,4790.68,4802.23,8569.3888
1636471800000,4802.24,4815.0,4788.85,4796.34,4641.2781
1636472700000,4796.34,4804.25,4777.73,4790.99,3709.4089
1636473600000,4790.98,4798.03,4764.97,4771.57,5554.0443
1636474500000,4771.56,4790.71,4760.0,4787.61,3653.4557
1636475400000,4787.62,4790.37,4749.36,4788.08,6580.8629
1636476300000,4788.07,4788.39,4770.12,4773.98,2744.6226
1636477200000,4773.97,4776.3,4738.0,4747.36,5369.5807
1636478100000,4747.36,4763.19,4741.47,4757.41,3360.5236
1636479000000,4757.41,4778.82,4755.64,4778.16,2056.6389
1636479900000,4778.15,4785.0,4770.16,4776.68,2071.5684
1636480800000,4776.68,4792.82,4772.37,4783.33,2203.2961
1636481700000,4783.32,4783.61,4760.36,4764.42,2184.6823
1636482600000,4764.42,4771.64,4759.27,4761.3,1907.9399
1636483500000,4761.29,4761.3,4744.46,4744.63,2521.8853
1636484400000,4744.62,4753.59,4713.89,4719.13,7384.5299
1636485300000,4719.14,4743.87,4718.47,4734.56,3316.5782
1636486200000,4734.57,4737.99,4724.08,4737.2,1849.8144
1636487100000,4737.19,4750.73,4736.37,4750.62,2483.4933
1636488000000,4750.62,4750.99,4733.23,4734.82,2221.2666
1636488900000,4734.83,4760.0,4732.0,4750.64,2735.9451
1636489800000,4750.63,4773.33,4742.85,4771.61,4465.7838
1636490700000,4771.61,4776.84,4756.0,4775.67,2646.2194
1636491600000,4775.67,4784.0,4769.73,4782.89,2307.7248
1636492500000,4782.9,4782.9,4766.21,4766.49,1761.4031
1636493400000,4766.49,4783.98,4763.54,4783.74,1372.537
1636494300000,4783.74,4801.67,4780.01,4798.16,2926.9563
1636495200000,4798.15,4799.01,4777.79,4780.25,1852.534
1636496100000,4780.25,4783.4,4749.17,4749.29,2437.0771
1636497000000,4749.28,4769.33,4747.52,4761.1,1568.6191
1636497900000,4761.09,4775.71,4751.92,4757.18,1650.6296
1636498800000,4757.18,4767.17,4740.0,4745.4,2448.6315
1636499700000,4745.39,4750.43,4743.03,4746.76,1572.3359
1636500600000,4746.76,4747.88,4721.11,4737.0,4121.4617
1636501500000,4737.0,4737.8,4717.07,4732.33,2774.3315
1636502400000,4732.33,4754.18,4724.36,4746.17,4059.6266
1636503300000,4746.17,4758.6,4735.38,4750.35,2426.0774
1636504200000,4750.36,4750.36,4718.79,4719.28,2228.9194
1636505100000,4719.28,4727.71,4700.0,4721.11,5448.4379
1636506000000,4721.11,4737.0,4712.18,4734.74,1979.9302
1636506900000,4734.73,4741.79,4724.74,4740.51,1884.7933
1636507800000,4740.51,4744.19,4729.17,4741.0,2400.5651
1636508700000,4741.0,4742.41,4720.0,4730.73,2285.6568
1636509600000,4730.73,4756.0,4727.8,4744.87,3081.8047
1636510500000,4744.87,4753.14,4738.25,4747.95,1655.0225
1636511400000,4747.95,4749.94,4730.06,4730.76,1756.3759
1636512300000,4730.75,4738.55,4729.47,4738.0,1175.421
1636513200000,4737.99,4738.0,4718.42,4718.68,2801.9255
1636514100000,4718.67,4719.76,4690.67,4691.79,6122.0673
1636515000000,4691.79,4707.57,4680.0,4680.97,6388.1629
1636515900000,4680.97,4692.97,4679.98,4691.48,3093.0546
1636516800000,4691.48,4693.01,4677.91,4680.1,3361.5133
1636517700000,4680.1,4705.03,4680.01,4696.17,2473.2028
1636518600000,4696.17,4714.7,4693.86,4710.51,2384.3878
1636519500000,4710.51,4717.33,4705.61,4713.75,2344.1343
1636520400000,4713.76,4716.44,4697.3,4698.39,2289.0959
1636521300000,4698.39,4715.24,4697.49,4714.61,2037.5356
1636522200000,4714.62,4714.62,4701.43,4704.49,2067.9313
1636523100000,4704.48,4712.28,4700.68,4701.07,1397.6257
1636524000000,4701.08,4716.94,4697.28,4714.76,2591.1153
1636524900000,4714.76,4716.76,4703.0,4703.26,1834.0236
1636525800000,4703.26,4714.99,4700.19,4712.2,1944.8215
1636526700000,4712.19,4740.96,4710.02,4739.78,4943.2064
1636527600000,4739.79,4743.92,4726.65,4726.65,5585.7263
1636528500000,4726.65,4739.0,4722.01,4737.65,2236.748
1636529400000,4737.66,4737.66,4715.11,4716.61,1901.8332
1636530300000,4716.62,4726.76,4708.43,4714.6,2082.4274
1636531200000,4714.6,4723.48,4708.23,4718.06,4068.5627
1636532100000,4718.05,4733.9,4718.05,4725.18,2975.2323
1636533000000,4725.17,4735.7,4713.39,4715.01,3040.758
1636533900000,4715.0,4720.94,4707.0,4709.01,2180.2177
1636534800000,4709.01,4725.11,4702.0,4707.33,2567.9162
1636535700000,4707.33,4712.9,4700.11,4711.99,1881.2589
1636536600000,4711.99,4720.01,4710.1,4710.73,2796.3742
1636537500000,4710.74,4714.21,4703.58,4707.12,2131.3091
1636538400000,4707.11,4725.89,4702.38,4723.78,2021.3547
1636539300000,4723.78,4742.42,4720.66,4740.41,2901.655
1636540200000,4740.4,4750.0,4729.99,4747.99,3051.7035
1636541100000,4747.99,4750.99,4737.99,4740.16,2542.6773
1636542000000,4740.17,4753.0,4733.1,4752.35,2223.7336
1636542900000,4752.35,4755.0,4732.3,4733.86,2401.9803
1636543800000,4733.85,4747.78,4732.22,4738.11,2508.3355
1636544700000,4738.12,4742.53,4729.0,4729.67,2417.5683
1636545600000,4729.67,4752.0,4721.25,4749.98,2992.6984
1636546500000,4749.97,4751.73,4725.11,4726.79,2317.8012
1636547400000,4726.8,4735.54,4725.5,4733.72,1823.7959
1636548300000,4733.72,4734.37,4698.58,4709.86,6013.4546
1636549200000,4709.86,4725.15,4700.21,4722.98,2791.7426
1636550100000,4722.98,4729.52,4711.17,4712.59,3024.41
1636551000000,4712.59,4788.07,4693.62,4784.47,16723.0503
1636551900000,4784.47,4799.93,4768.12,4792.39,8179.5291
1636552800000,4792.39,4849.0,4791.22,4846.69,15268.71683
1636553700000,4846.7,4868.0,4818.22,4826.98,12367.4698
1636554600000,4826.98,4839.9,4815.0,4837.15,5577.0131
1636555500000,4837.16,4847.23,4828.01,4845.24,4513.1031
1636556400000,4845.25,4856.52,4841.57,4845.78,4858.4953
1636557300000,4845.77,4856.59,4837.7,4837.75,3957.7791
1636558200000,4837.74,4848.0,4831.51,4846.84,4225.5634
1636559100000,4846.83,4851.58,4842.3,4846.71,2737.815
1636560000000,4846.94,4864.84,4841.0,4841.5,7056.8009
1636560900000,4841.51,4851.55,4838.12,4843.86,5770.9886
1636561800000,4843.86,4847.45,4833.19,4834.23,5705.9131
1636562700000,4834.22,4850.0,4833.85,4846.05,4611.2746
1636563600000,4846.06,4854.27,4839.0,4839.47,3152.1968
1636564500000,4839.46,4847.37,4837.5,4844.97,2075.0027
1636565400000,4844.96,4850.99,4828.39,4836.54,3503.8159
1636566300000,4836.54,4840.25,4824.09,4839.12,3124.3315
1636567200000,4839.12,4840.8,4812.18,4818.87,3657.9325
1636568100000,4818.87,4820.86,4797.4,4812.11,4776.7515
1636569000000,4812.11,4814.32,4787.61,4795.91,3882.9853
1636569900000,4795.92,4806.06,4763.98,4782.85,8636.6192
1636570800000,4782.86,4807.14,4782.1,4805.25,4911.5751
1636571700000,4805.25,4810.0,4780.77,4783.11,4413.1847
1636572600000,4783.12,4788.0,4735.96,4736.83,7258.4723
1636573500000,4736.84,4751.1,4695.55,4705.37,13258.7648
1636574400000,4705.65,4710.8,4657.0,4694.45,19231.5307
1636575300000,4694.45,4722.0,4685.2,4700.0,8881.3988
1636576200000,4700.0,4717.0,4670.0,4672.18,7379.4783
1636577100000,4672.17,4681.29,4572.66,4638.66,42184.1397
1636578000000,4638.25,4658.16,4615.92,4620.97,9177.3498
1636578900000,4620.98,4621.02,4461.93,4577.96,53308.7207
1636579800000,4577.96,4647.45,4554.45,4619.32,26596.2999
1636580700000,4619.32,4620.03,4544.1,4552.68,17349.6581
1636581600000,4552.9,4617.5,4525.09,4600.12,15480.5238
1636582500000,4600.41,4601.59,4572.61,4587.18,7030.1457
1636583400000,4587.18,4621.47,4586.94,4608.95,5123.0201
1636584300000,4608.95,4656.92,4590.12,4640.54,6743.2244
1636585200000,4640.57,4640.59,4615.37,4627.79,4351.3525
1636586100000,4627.79,4627.79,4579.39,4600.66,7027.3066
1636587000000,4600.67,4618.73,4583.36,4612.2,4993.8348
1636587900000,4612.2,4637.05,4606.86,4628.78,3596.1537
1636588800000,4628.68,4628.7,4590.0,4600.96,6855.8674
1636589700000,4600.95,4608.95,4577.39,4602.96,4766.4676
1636590600000,4602.96,4604.99,4576.47,4587.84,3977.321
1636591500000,4587.84,4628.0,4586.26,4626.68,4111.1501
1636592400000,4626.69,4632.31,4609.86,4613.19,3629.7385
1636593300000,4612.96,4620.31,4597.42,4600.93,3143.9828
1636594200000,4600.93,4606.5,4594.04,4603.74,2355.368
1636595100000,4603.75,4621.28,4600.61,4615.69,3140.1603
1636596000000,4615.68,4615.75,4584.65,4585.36,3561.5644
1636596900000,4585.36,4599.41,4583.23,4586.38,2975.7367
1636597800000,4586.38,4594.96,4580.8,4591.66,2441.8854
1636598700000,4591.67,4615.91,4586.04,4615.01,2705.8056
1636599600000,4615.01,4615.01,4602.13,4611.96,1974.5019
1636600500000,4611.95,4642.28,4608.05,4636.73,4223.9092
1636601400000,4636.74,4651.56,4619.03,4628.41,5426.3932
1636602300000,4628.41,4639.91,4627.01,4636.68,2331.8993
1636603200000,4636.69,4640.96,4621.98,4630.89,2744.7357
1636604100000,4630.9,4636.38,4627.27,4629.1,2036.9586
1636605000000,4629.26,4636.61,4623.4,4627.02,2269.1183
1636605900000,4627.02,4640.63,4621.0,4633.97,2445.16
1636606800000,4633.97,4650.71,4633.21,4649.31,3065.2489
1636607700000,4649.31,4658.0,4642.19,4657.25,2807.5042
1636608600000,4657.25,4662.18,4642.62,4645.45,2963.4329
1636609500000,4645.45,4656.89,4641.96,4656.01,1856.1894
1636610400000,4656.01,4663.01,4650.0,4658.34,2573.8039
1636611300000,4658.34,4658.34,4641.32,4653.97,2157.243
1636612200000,4653.98,4676.92,4652.28,4667.28,3442.8638
1636613100000,4667.27,4674.61,4659.25,4669.24,2040.1878
1636614000000,4669.25,4679.34,4669.25,4677.13,2543.9257
1636614900000,4677.13,4686.99,4675.8,4679.96,3788.655
1636615800000,4679.95,4693.06,4675.68,4686.9,3271.6224
1636616700000,4686.9,4697.66,4686.19,4691.34,2812.1266
1636617600000,4691.35,4700.0,4667.33,4672.0,4142.0418
1636618500000,4672.0,4684.86,4654.29,4658.85,2870.0699
1636619400000,4658.85,4674.4,4653.86,4671.36,2807.4792
1636620300000,4671.36,4721.58,4668.78,4720.13,6763.8416
1636621200000,4720.52,4730.07,4700.23,4713.13,6088.3016
1636622100000,4713.13,4742.59,4702.59,4741.39,6881.4083
1636623000000,4741.38,4743.09,4724.24,4725.21,3334.5719
1636623900000,4725.21,4738.56,4723.06,4727.98,2618.1728
1636624800000,4727.98,4731.63,4716.68,4717.61,3054.6682
1636625700000,4717.6,4719.7,4705.26,4707.08,3533.6471
1636626600000,4707.08,4719.08,4690.72,4716.99,3040.5766
1636627500000,4716.98,4719.37,4701.91,4706.39,1729.1167
1636628400000,4706.39,4710.3,4694.48,4707.34,2354.0281
1636629300000,4707.33,4719.62,4705.9,4713.29,2146.1415
1636630200000,4713.29,4721.42,4696.16,4696.6,2958.6917
1636631100000,4696.61,4722.3,4696.03,4721.95,2583.4796
1636632000000,4721.95,4729.68,4684.0,4686.58,7583.8131
1636632900000,4686.58,4700.19,4685.32,4692.03,2372.2292
1636633800000,4692.03,4704.51,4673.84,4696.8,5333.9216
1636634700000,4696.74,4718.47,4693.56,4715.48,2217.624
1636635600000,4715.47,4722.97,4697.12,4697.64,3617.3947
1636636500000,4697.65,4718.86,4692.99,4717.03,2916.803
1636637400000,4717.02,4718.65,4698.0,4712.96,2499.5869
1636638300000,4712.95,4715.0,4695.09,4703.01,2991.8497
1636639200000,4703.11,4712.85,4679.46,4684.18,4917.9585
1636640100000,4684.17,4702.84,4679.87,4693.5,3008.3317
1636641000000,4693.49,4760.56,4687.0,4742.5,10503.5628
1636641900000,4742.49,4750.97,4733.0,4735.31,4319.5109
1636642800000,4735.3,4756.0,4723.38,4754.98,4922.7516
